approach;sample_size;repetition;activity;prob
Random;300;0;O_ACCEPTED;0.02514890800794176
Random;300;0;O_SENT;0.02183984116479153
Random;300;0;O_CREATED;0.02183984116479153
Random;300;0;O_SELECTED;0.02183984116479153
Random;300;0;W_Afhandelen leads;0.019192587690271344
Random;300;0;O_SENT_BACK;0.01786896095301125
Random;300;0;O_DECLINED;0.013236267372600927
Random;300;0;A_ACCEPTED;0.01257445400397088
Random;300;0;A_FINALIZED;0.010589013898080741
Random;300;0;W_Beoordelen fraude;0.005956320317670417
Random;300;0;W_Nabellen incomplete dossiers;0.004632693580410324
Random;300;1;W_Completeren aanvraag;0.27625
Random;300;1;W_Nabellen offertes;0.210625
Random;300;1;W_Valideren aanvraag;0.094375
Random;300;1;O_CANCELLED;0.0425
Random;300;1;A_CANCELLED;0.036875
Random;300;1;O_SENT;0.033125
Random;300;1;O_CREATED;0.033125
Random;300;1;O_SELECTED;0.033125
Random;300;1;A_DECLINED;0.029375
Random;300;1;A_ACTIVATED;0.02625
Random;300;1;A_REGISTERED;0.02625
Random;300;1;A_APPROVED;0.02625
Random;300;1;O_ACCEPTED;0.02625
Random;300;1;O_SENT_BACK;0.0225
Random;300;1;W_Nabellen incomplete dossiers;0.020625
Random;300;1;A_ACCEPTED;0.01625
Random;300;1;A_FINALIZED;0.015625
Random;300;1;W_Afhandelen leads;0.01375
Random;300;1;O_DECLINED;0.01375
Random;300;1;W_Beoordelen fraude;0.0025
Random;300;1;W_Wijzigen contractgegevens;0.000625
Random;300;2;W_Completeren aanvraag;0.2753623188405797
Random;300;2;W_Nabellen offertes;0.26224982746721875
Random;300;2;W_Valideren aanvraag;0.05728088336783989
Random;300;2;O_CANCELLED;0.04830917874396135
Random;300;2;A_CANCELLED;0.04692891649413389
Random;300;2;O_SENT;0.035196687370600416
Random;300;2;O_CREATED;0.035196687370600416
Random;300;2;O_SELECTED;0.035196687370600416
Random;300;2;A_ACTIVATED;0.024844720496894408
Random;300;2;O_ACCEPTED;0.024844720496894408
Random;300;2;A_REGISTERED;0.024844720496894408
Random;300;2;A_APPROVED;0.024844720496894408
Random;300;2;A_DECLINED;0.02139406487232574
Random;300;2;O_SENT_BACK;0.018633540372670808
Random;300;2;W_Afhandelen leads;0.01725327812284334
Random;300;2;A_ACCEPTED;0.01518288474810214
Random;300;2;A_FINALIZED;0.013112491373360938
Random;300;2;W_Nabellen incomplete dossiers;0.008281573498964804
Random;300;2;O_DECLINED;0.006901311249137336
Random;300;2;W_Beoordelen fraude;0.004140786749482402
Random;300;3;W_Completeren aanvraag;0.27384615384615385
Random;300;3;W_Nabellen offertes;0.23384615384615384
Random;300;3;W_Valideren aanvraag;0.07815384615384616
Random;300;3;A_CANCELLED;0.04492307692307692
Random;300;3;O_CANCELLED;0.038153846153846156
Random;300;3;A_ACTIVATED;0.031384615384615386
Random;300;3;A_REGISTERED;0.031384615384615386
Random;300;3;O_ACCEPTED;0.031384615384615386
Random;300;3;A_APPROVED;0.031384615384615386
Random;300;3;O_SENT;0.029538461538461538
Random;300;3;O_CREATED;0.029538461538461538
Random;300;3;O_SELECTED;0.029538461538461538
Random;300;3;O_SENT_BACK;0.021538461538461538
Random;300;3;A_DECLINED;0.020923076923076923
Random;300;3;A_FINALIZED;0.016
Random;300;3;A_ACCEPTED;0.016
Random;300;3;W_Afhandelen leads;0.015384615384615385
