approach;sample_size;repetition;feature;informative;correlation
Feature;100;0;trace:payment_actual0@579000.0;False;0.0
Feature;100;0;trace:penalty_AVUVP@True;False;0.0
Feature;100;0;trace:cross_compliance@100.0;False;0.0
Feature;100;0;trace:payment_actual0@584000.0;False;0.0
Feature;100;0;trace:payment_actual0@583000.0;False;0.0
Feature;100;0;trace:cross_compliance@40.0;False;0.0
Feature;100;0;trace:penalty_amount0@8800.0;False;0.0
Feature;100;0;trace:penalty_amount0@5800.0;False;0.0
Feature;100;0;trace:payment_actual0@155000.0;False;0.0
Feature;100;0;trace:penalty_amount0@6200.0;False;0.0
Feature;100;0;trace:penalty_amount0@7600.0;False;0.0
Feature;100;0;trace:penalty_JLP5@True;False;0.0
Feature;100;0;event:org:resource@bbd307;False;0.0
Feature;100;0;trace:payment_actual0@82000.0;False;0.0
Feature;100;0;trace:payment_actual0@151000.0;False;0.0
Feature;100;0;trace:cross_compliance@11.0;False;0.0
Feature;100;0;trace:penalty_amount0@5600.0;False;0.0
Feature;100;0;trace:penalty_amount0@5200.0;False;0.0
Feature;100;0;trace:penalty_amount0@7900.0;False;0.0
Feature;100;0;trace:penalty_amount0@7400.0;False;0.0
Feature;100;0;trace:payment_actual0@154000.0;False;0.0
Feature;100;0;trace:payment_actual0@581000.0;False;0.0
Feature;100;0;trace:penalty_amount0@5400.0;False;0.0
Feature;100;0;trace:penalty_amount0@10800.0;False;0.0
Feature;100;0;trace:cross_compliance@30.0;False;0.0
Feature;100;0;event:org:resource@2baab0;False;0.0
Feature;100;0;event:org:resource@a21e1b;False;0.0
Feature;100;0;trace:penalty_amount0@10400.0;False;0.0
Feature;100;0;trace:payment_actual0@152000.0;False;0.0
Feature;100;0;trace:penalty_amount0@6600.0;False;0.0
Feature;100;0;trace:area@86.0;False;0.0
Feature;100;0;trace:area@120.0;False;0.0
Feature;100;0;trace:area@561.0;False;0.0
Feature;100;0;trace:amount_applied0@66000.0;False;0.0
Feature;100;0;trace:area@60.0;False;0.0
Feature;100;0;trace:penalty_B5@True;False;0.0
Feature;100;0;trace:area@208.0;False;0.0
